@logo      B&M-General Particle Tracer
numderivs           0
cputime     4.000e+00
position    9.900e-01
            x           y           z         rxy          Bx          By          Bz           G           t           m           q      nmacro      rmacro          ID 
   4.164e-08  7.519e-09  9.900e-01  4.231e-08  3.782e-02  6.951e-03  6.942e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.000e+00 
   1.276e-09 -3.519e-09  9.900e-01  3.744e-09  8.283e-03 -2.235e-02  6.949e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.000e+00 
  -1.204e-07 -7.289e-08  9.900e-01  1.407e-07 -4.480e-02 -2.735e-02  6.933e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.000e+00 
  -3.825e-11 -1.198e-10  9.900e-01  1.257e-10 -1.537e-04  1.568e-02  6.951e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.000e+00 
  -1.025e-08 -8.137e-08  9.900e-01  8.201e-08 -4.651e-03 -4.519e-02  6.938e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.000e+01 
  -1.581e-08 -1.262e-09  9.900e-01  1.586e-08 -3.106e-02 -2.054e-03  6.946e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.200e+01 
   9.149e-08  1.875e-07  9.900e-01  2.086e-07  2.579e-02  5.237e-02  6.929e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.400e+01 
  -1.951e-10  8.254e-11  9.900e-01  2.119e-10  1.023e-02 -2.971e-03  6.952e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.600e+01 
  -5.406e-08  2.398e-08  9.900e-01  5.914e-08 -3.878e-02  1.628e-02  6.940e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.800e+01 
   7.274e-09  5.036e-09  9.900e-01  8.848e-09  2.208e-02  1.666e-02  6.948e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.000e+01 
   1.250e-07 -1.136e-07  9.900e-01  1.689e-07  4.089e-02 -3.690e-02  6.931e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.200e+01 
  -6.147e-10 -1.148e-09  9.900e-01  1.302e-09 -1.088e-02 -1.679e-02  6.950e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.400e+01 
  -5.182e-08  9.862e-08  9.900e-01  1.114e-07 -2.228e-02  4.381e-02  6.936e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.600e+01 
  -7.688e-09 -2.691e-08  9.900e-01  2.798e-08 -9.102e-03 -3.371e-02  6.944e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.800e+01 
  -2.628e-07  2.422e-08  9.900e-01  2.640e-07 -6.209e-02  5.798e-03  6.925e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.000e+01 
  -3.589e-11 -6.246e-11  9.900e-01  7.203e-11  4.233e-03  6.010e-03  6.953e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.200e+01 
   4.573e-08 -2.076e-08  9.900e-01  5.022e-08  3.672e-02 -1.681e-02  6.941e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.400e+01 
  -5.160e-09  3.642e-09  9.900e-01  6.316e-09 -2.192e-02  1.362e-02  6.948e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.600e+01 
   1.413e-07  7.406e-08  9.900e-01  1.595e-07  4.743e-02  2.616e-02  6.932e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.800e+01 
   1.862e-10 -1.907e-10  9.900e-01  2.665e-10  1.103e-02 -1.399e-02  6.951e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.000e+01 
  -6.400e-08 -7.384e-08  9.900e-01  9.772e-08 -3.167e-02 -3.556e-02  6.937e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.200e+01 
  -7.474e-09  2.089e-08  9.900e-01  2.219e-08 -1.046e-02  3.163e-02  6.945e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.400e+01 
   4.875e-08 -2.446e-07  9.900e-01  2.494e-07  1.266e-02 -6.006e-02  6.926e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.600e+01 
   2.736e-10  8.636e-11  9.900e-01  2.869e-10 -1.235e-02 -4.901e-03  6.952e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.800e+01 
   9.413e-09  6.709e-08  9.900e-01  6.775e-08  5.887e-03  4.305e-02  6.940e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.000e+01 
