@logo      B&M-General Particle Tracer
numderivs           0
cputime     3.000e+00
position    9.900e-01
            x           y           z         rxy          Bx          By          Bz           G           t           m           q      nmacro      rmacro          ID 
  -7.968e-10  8.026e-10  9.900e-01  1.131e-09  9.092e-03 -2.427e-02  6.948e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.000e+00 
  -2.517e-10 -3.197e-09  9.900e-01  3.207e-09 -1.158e-04  1.644e-02  6.951e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.000e+00 
  -1.369e-09  5.667e-10  9.900e-01  1.482e-09  1.047e-02 -3.069e-03  6.952e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.600e+01 
   1.795e-09  2.122e-09  9.900e-01  2.779e-09 -1.162e-02 -1.784e-02  6.950e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.400e+01 
  -3.201e-10 -5.544e-10  9.900e-01  6.402e-10  4.283e-03  6.097e-03  6.953e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.200e+01 
  -2.286e-09  2.909e-09  9.900e-01  3.700e-09  1.171e-02 -1.483e-02  6.951e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.000e+01 
   2.438e-09  8.160e-10  9.900e-01  2.571e-09 -1.283e-02 -5.069e-03  6.952e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.800e+01 
  -1.582e-09 -9.578e-10  9.900e-01  1.849e-09  2.224e-02  7.792e-03  6.949e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.600e+01 
  -4.577e-11  1.867e-10  9.900e-01  1.922e-10  2.383e-04 -5.170e-03  6.953e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.400e+01 
  -1.539e-10  1.327e-10  9.900e-01  2.032e-10  8.017e-03  2.586e-02  6.948e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.800e+01 
   3.403e-09 -4.993e-10  9.900e-01  3.440e-09 -1.712e-02  4.246e-03  6.951e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.200e+01 
   1.003e-09 -1.461e-09  9.900e-01  1.772e-09 -7.246e-03  1.002e-02  6.952e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.000e+01 
  -2.360e-09  1.777e-09  9.900e-01  2.954e-09  1.987e-02 -1.060e-02  6.949e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.800e+01 
   7.886e-10  6.267e-10  9.900e-01  1.007e-09 -6.552e-03 -6.585e-03  6.953e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.600e+01 
  -9.133e-10 -3.517e-09  9.900e-01  3.634e-09  3.962e-03  1.972e-02  6.950e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.040e+02 
  -1.469e-09  2.593e-09  9.900e-01  2.980e-09  6.725e-03 -1.353e-02  6.951e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.120e+02 
   1.990e-09  2.551e-10  9.900e-01  2.006e-09 -2.442e-02 -4.216e-03  6.949e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.200e+02 
  -3.533e-11 -6.022e-11  9.900e-01  6.982e-11  2.653e-03  2.476e-03  6.953e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.280e+02 
  -2.390e-11 -6.958e-10  9.900e-01  6.962e-10 -1.209e-02 -2.357e-02  6.948e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.320e+02 
   2.481e-10  2.913e-09  9.900e-01  2.924e-09 -2.729e-03 -1.678e-02  6.951e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.360e+02 
   1.598e-09 -5.753e-10  9.900e-01  1.698e-09 -1.047e-02  5.071e-03  6.952e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.440e+02 
   6.844e-10 -2.582e-09  9.900e-01  2.671e-09 -8.893e-03  2.001e-02  6.950e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.520e+02 
  -6.995e-10 -7.608e-11  9.900e-01  7.036e-10  8.327e-03  1.077e-03  6.953e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.600e+02 
   3.105e-09  1.583e-09  9.900e-01  3.485e-09 -1.632e-02 -1.075e-02  6.950e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.680e+02 
  -1.087e-09 -2.602e-09  9.900e-01  2.820e-09  5.697e-03  1.329e-02  6.952e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.760e+02 
  -1.545e-09  1.681e-09  9.900e-01  2.283e-09  1.861e-02 -1.553e-02  6.949e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.840e+02 
   4.294e-10  2.000e-11  9.900e-01  4.298e-10 -6.395e-03  2.380e-04  6.953e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.920e+02 
  -2.547e-09 -2.004e-09  9.900e-01  3.240e-09  1.560e-02  9.450e-03  6.951e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.000e+02 
  -7.715e-10  2.121e-09  9.900e-01  2.257e-09  3.287e-03 -1.265e-02  6.952e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.080e+02 
   1.997e-09 -9.760e-10  9.900e-01  2.223e-09 -1.819e-02  1.406e-02  6.949e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.160e+02 
   1.271e-10 -1.252e-09  9.900e-01  1.259e-09 -2.136e-03  9.892e-03  6.952e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.240e+02 
  -2.875e-09  5.876e-10  9.900e-01  2.934e-09  2.064e-02 -1.646e-03  6.950e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.320e+02 
   9.612e-10  2.451e-09  9.900e-01  2.633e-09 -5.686e-03 -1.468e-02  6.951e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.400e+02 
  -6.156e-10 -1.457e-09  9.900e-01  1.582e-09  1.594e-02  1.970e-02  6.949e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.480e+02 
